Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,TranslationAccepted,TranslationMagnitude_m,HeadingDelta_deg
1,10:29:44,1.062999999965541,0.013319078300590268,6.23034985854827e-05,0.05999755859375,0.0,0.25,0.0,True,0.013319224020309536,0.05999755859375
2,10:29:44,1.2660000000032596,0.03527754496647861,0.00011625031947459258,0.0200042724609375,0.0,0.25,0.0,True,0.02195853293315411,-0.0399932861328125
3,10:29:44,1.452999999979511,0.057835888503597804,0.0002607099626802832,-0.0500030517578125,0.0,0.25,0.0,True,0.02255880607938289,-0.07000732421875
4,10:29:45,1.6719999999622814,0.08087466242947428,2.1801605173247103e-05,-0.1399993896484375,0.0,0.25,0.0,True,0.023040012613081015,-0.089996337890625
5,10:29:45,1.8599999999860302,0.10559284645127004,6.7101542226397e-05,-0.07000732421875,0.0,0.25,0.0,True,0.024718225531369698,0.0699920654296875
6,10:29:45,2.062999999965541,0.14003097584048785,-0.00021316289559926622,-0.1500091552734375,0.0,0.25,0.0,True,0.03443926979457634,-0.0800018310546875
7,10:29:45,2.2660000000032596,0.15190990096995322,-0.00011278467665189353,-0.1500091552734375,0.0,0.25,0.0,True,0.011879349225369335,0.0
8,10:29:45,2.4689999999827705,0.18706741351106881,-6.54734645427204e-05,-0.2299957275390625,0.0,0.25,0.0,True,0.035157544374280356,-0.079986572265625
9,10:29:46,2.6719999999622814,0.2095065329389468,-0.00016756562214727874,-0.30999755859375,0.0,0.25,0.0,True,0.022439351673059008,-0.0800018310546875
10,10:29:46,2.875,0.23422641656688512,-0.000468899380012934,-0.220001220703125,0.0,0.25,0.0,True,0.024721720179074137,0.089996337890625
11,10:29:46,3.077999999979511,0.2575057020073946,-0.0006484952023513458,-0.260009765625,0.0,0.25,0.0,True,0.023279978206177908,-0.040008544921875
12,10:29:46,3.280999999959022,0.2806634559136416,-0.000470086495071766,-0.279998779296875,0.0,0.25,0.0,True,0.02315844113167235,-0.019989013671875
13,10:29:46,3.5,0.30406252052473887,-0.0005615264328803095,-0.290008544921875,0.0,0.25,0.0,True,0.02339924327700645,-0.010009765625
14,10:29:47,3.687999999965541,0.3248197396998994,-0.0002504401880066972,-0.279998779296875,0.0,0.25,0.0,True,0.020759550152578007,0.010009765625
15,10:29:47,3.905999999959022,0.3501401142502583,-0.0006028065176398106,-0.32000732421875,0.0,0.25,0.0,True,0.025322826252231836,-0.040008544921875
16,10:29:47,4.10999999998603,0.37341881563680435,-0.000645879771640001,-0.1500091552734375,0.0,0.25,0.0,True,0.023278741236355326,0.1699981689453125
17,10:29:47,4.312999999965541,0.3846993223131581,-0.0010241362169418982,-0.2299957275390625,0.0,0.25,0.0,True,0.011286846717027529,-0.079986572265625
18,10:29:48,4.51600000000326,0.4202180822657614,-0.0013065204911898443,-0.1999969482421875,0.0,0.25,0.0,True,0.03551988245263488,0.029998779296875
19,10:29:48,4.7189999999827705,0.4428960871155646,-0.0011600607124855199,-0.19000244140625,0.0,0.25,0.0,True,0.022678477780364234,0.0099945068359375
20,10:29:48,4.921999999962281,0.46521432039835775,-0.0010743639519449379,-0.25,0.0,0.25,0.0,True,0.022318397809877467,-0.05999755859375
21,10:29:48,5.125,0.489093782352502,-0.0013269776441342516,-0.1999969482421875,0.0,0.25,0.0,True,0.02388079807914519,0.0500030517578125
22,10:29:48,5.327999999979511,0.5136926525988408,-0.001436062330242632,-0.260009765625,0.0,0.25,0.0,True,0.02459911211537837,-0.0600128173828125
23,10:29:49,5.530999999959022,0.5367319573726588,-0.0016166634101345409,-0.220001220703125,0.0,0.25,0.0,True,0.023040012613081032,0.040008544921875
24,10:29:49,5.73499999998603,0.5586904900203024,-0.0016131223957268539,-0.160003662109375,0.0,0.25,0.0,True,0.021958532933154123,0.05999755859375
25,10:29:49,5.937999999965541,0.5824503243256672,-0.0020968418489014703,-0.1800079345703125,0.0,0.25,0.0,True,0.023764757746035918,-0.0200042724609375
26,10:29:49,6.14100000000326,0.604649387348444,-0.0028395162643175273,0.0800018310546875,0.0,0.25,0.0,True,0.022211482714499926,0.260009765625
27,10:29:49,6.3439999999827705,0.6270876997045952,-0.002930332715022809,0.029998779296875,0.0,0.25,0.0,True,0.022438496139891538,-0.0500030517578125
28,10:29:50,6.562999999965541,0.6494060604777886,-0.0030747295334428455,0.0,0.0,0.25,0.0,True,0.0223188278823864,-0.029998779296875
29,10:29:50,6.780999999959022,0.6842035591265446,-0.0030595453326936876,-0.0500030517578125,0.0,0.25,0.0,True,0.03479750196163695,-0.0500030517578125
30,10:29:50,6.98499999998603,0.7062816674686181,-0.0028786037468242526,-0.1699981689453125,0.0,0.25,0.0,True,0.022078849784846796,-0.1199951171875
31,10:29:50,7.187999999965541,0.7305205884071966,-0.0030901407619567125,-0.1399993896484375,0.0,0.25,0.0,True,0.02423984398001422,0.029998779296875
32,10:29:50,7.39100000000326,0.7547591075762851,-0.0031715835899499257,-0.1300048828125,0.0,0.25,0.0,True,0.024238655995011366,0.0099945068359375
33,10:29:51,7.5939999999827705,0.7781579293495593,-0.003312031299369317,-0.1999969482421875,0.0,0.25,0.0,True,0.02339924327700645,-0.0699920654296875
34,10:29:51,7.796999999962281,0.8013163698287881,-0.0033065341048251237,-0.1699981689453125,0.0,0.25,0.0,True,0.02315844113167229,0.029998779296875
35,10:29:51,8.0,0.8243539538902364,-0.0030734888480389313,-0.3000030517578125,0.0,0.25,0.0,True,0.023038762759315164,-0.1300048828125
36,10:29:51,8.202999999979511,0.8478726736680777,-0.003074533646125154,-0.3699951171875,0.0,0.25,0.0,True,0.023518719801048523,-0.0699920654296875
37,10:29:51,8.405999999959022,0.8706704533273975,-0.002911394950115708,-0.4499969482421875,0.0,0.25,0.0,True,0.022798363354175875,-0.0800018310546875
38,10:29:52,8.60999999998603,0.8953889780761448,-0.0028450254626550577,-0.5,0.0,0.25,0.0,True,0.024718613849957317,-0.0500030517578125
39,10:29:52,8.812999999965541,0.9183082730321211,-0.0028548498771783335,-0.4900054931640625,0.0,0.25,0.0,True,0.02291929706160643,0.0099945068359375
40,10:29:52,9.01600000000326,0.9394259846800204,-0.002674242385910108,-0.4900054931640625,0.0,0.25,0.0,True,0.02111848394913136,0.0
41,10:29:52,9.21899999998277,0.9629470281657079,-0.0028846523993931064,-0.510009765625,0.0,0.25,0.0,True,0.023521984589514853,-0.0200042724609375
42,10:29:52,9.437999999965541,0.9849052515175741,-0.0027680513446473047,-0.4600067138671875,0.0,0.25,0.0,True,0.021958532933154123,0.0500030517578125
