Sample,Timestamp,Elapsed_s,X_m,Y_m,Heading_deg,Command_X,Command_Y,Command_Z,Motion,LocalizationValid
1,09:34:39,1.0790000000270084,0.0,-0.0,0.010000228881835938,0.0,0.25,0.0,FORWARD,True
2,09:34:39,1.2820000000065193,0.004360925146994948,-0.00439534086327859,-0.4699993133544922,0.25,0.25,0.0,FORWARD,True
3,09:34:39,1.4850000000442378,0.028387866165998445,0.0009734723943461032,-0.3299999237060547,0.25,0.25,0.0,FORWARD,True
4,09:34:39,1.7040000000270084,0.04160895751479439,-0.013638602163179771,0.5500011444091797,0.0,0.25,0.0,FORWARD,True
5,09:34:40,1.9070000000065193,0.0721529717621198,-0.06383430085671608,3.1100006103515625,0.0,0.25,0.0,FORWARD,True
6,09:34:40,2.110000000044238,0.08379343127642319,-0.06658622301963953,3.1599998474121094,0.0,0.25,0.0,FORWARD,True
7,09:34:40,2.3130000000237487,0.1095484423350272,-0.08142031513075977,3.190000534057617,0.0,0.25,0.0,FORWARD,True
8,09:34:40,2.5160000000032596,0.13593285179021,-0.07875583216171861,3.1700000762939453,0.0,0.25,0.0,FORWARD,True
9,09:34:40,2.735000000044238,0.14699207921794707,-0.07604542991953046,3.059999465942383,0.0,0.25,0.15,FORWARD + RIGHT TURN,True
10,09:34:41,2.9540000000270084,0.16974905801419798,-0.06470704485385256,3.1200008392333984,0.0,0.25,0.0,FORWARD,True
11,09:34:41,3.1570000000065193,0.2164320634177242,-0.07682235427276872,7.200000762939453,0.0,0.25,0.0,FORWARD,True
12,09:34:41,3.360000000044238,0.23699564739529255,-0.08082383812503578,7.6100006103515625,0.0,0.25,0.0,FORWARD,True
13,09:34:41,3.5630000000237487,0.25878627433619056,-0.08690241068123154,7.540000915527344,0.0,0.25,0.0,FORWARD,True
14,09:34:41,3.7660000000032596,0.2698928266486022,-0.09454548689997508,7.470001220703125,0.0,0.25,0.0,FORWARD,True
