X_m,Y_m
0.2,0.8
0.2,0.75
0.25,0.75
1.1,1.75
1.1500000000000001,1.7000000000000002
1.2000000000000002,1.7000000000000002
1.25,1.7000000000000002
1.3,1.7000000000000002
1.35,1.7000000000000002
0.9500000000000001,0.65
1.0,0.65
1.05,0.65
1.2000000000000002,0.7000000000000001
1.25,0.7000000000000001
1.3,0.7000000000000001
1.4000000000000001,0.7000000000000001
4.3500000000000005,2.1
4.4,2.0
4.3500000000000005,1.85
4.25,1.75
4.3500000000000005,1.7000000000000002
4.3500000000000005,1.6
4.3500000000000005,1.55
4.3500000000000005,1.5
4.3500000000000005,1.3
4.3500000000000005,1.0
4.3500000000000005,0.8
3.3000000000000003,0.05
3.3000000000000003,0.0
3.3000000000000003,-0.1
3.3000000000000003,-0.15000000000000002
3.3000000000000003,-0.2
4.65,-0.4
4.65,-0.5
4.65,-0.6000000000000001
4.55,-0.7000000000000001
4.45,-0.8
4.45,-0.9
4.45,-0.9500000000000001
2.0500000000000003,-0.6000000000000001
2.0,-0.65
1.9500000000000002,-0.7000000000000001
1.9000000000000001,-0.7000000000000001
1.85,-0.75
1.9000000000000001,-0.75
1.4000000000000001,-0.65
1.35,-0.65
1.25,-0.65
1.0,-1.0
0.9500000000000001,-1.0
0.9,-1.05
0.65,-0.75
0.6000000000000001,-0.75
0.6000000000000001,-0.8
0.6000000000000001,-0.8500000000000001
1.25,-4.7
1.1,-4.65
1.05,-4.7
1.0,-4.7
0.5,-4.7
0.4,-4.7
0.25,-4.7
0.2,-4.7
0.15000000000000002,-4.7
-0.1,-4.7
-0.15000000000000002,-4.7
-0.2,-4.7
-0.30000000000000004,-4.7
-0.35000000000000003,-4.7
-0.45,-4.7
-0.8,-4.7
-0.8500000000000001,-4.7
-0.9,-4.7
-1.0,-4.6000000000000005
-1.1500000000000001,-4.6000000000000005
-1.2000000000000002,-4.6000000000000005
-1.25,-4.6000000000000005
-1.4500000000000002,-4.6000000000000005
-1.5,-4.6000000000000005
-1.6500000000000001,-4.6000000000000005
-1.7000000000000002,-4.6000000000000005
-1.75,-4.55
-1.9000000000000001,-4.6000000000000005
-1.6,-2.75
-1.6,-2.7
-1.6,-2.6
-1.6,-2.5
-1.6,-2.45
-1.6,-2.35
-1.6,-2.25
-1.6,-2.2
-1.6,-2.1
-1.6,-2.0
-1.6,-1.9000000000000001
-1.6,-1.85
-1.6,-1.75
-1.6,-1.7000000000000002
-1.6,-1.6500000000000001
-1.6,-1.6
-1.6,-1.55
-1.6,-1.5
-1.6,-1.4500000000000002
-1.6,-1.4000000000000001
-1.6,-1.35
-1.6500000000000001,-1.3
-1.6,-1.25
-1.6500000000000001,-1.2000000000000002
-1.6500000000000001,-1.1500000000000001
-1.6500000000000001,-1.1
-1.6,-1.1
-1.6,-1.05
-1.6,-0.9500000000000001
-1.6,-0.9
-1.6,-0.8500000000000001
-1.6,-0.8
-1.6,-0.75
-1.6,-0.7000000000000001
-1.6,-0.65
-1.6,-0.6000000000000001
-1.6,-0.55
-1.6,-0.5
-1.6,-0.45
-1.6,-0.4
-1.6,-0.35000000000000003
-1.6,-0.30000000000000004
-1.6,-0.25
-1.6,-0.2
-1.6,-0.15000000000000002
-1.6,-0.1
-1.6,-0.05
-1.6,0.0
-1.6,0.05
-1.6,0.1
-1.6,0.15000000000000002
-1.6,0.2
-1.6,0.25
-1.6,0.30000000000000004
-1.6,0.35000000000000003
-1.6,0.4
-1.6,0.45
-1.6,0.5
-1.6,0.55
-1.6,0.6000000000000001
-1.6,0.65
